iter	Passed	Remaining
443	1230	1540
444	1232	1537
445	1235	1534
446	1236	1530
447	1238	1526
448	1240	1521
449	1241	1517
450	1243	1514
451	1246	1510
452	1250	1509
453	1252	1506
454	1254	1502
455	1255	1497
456	1257	1493
457	1258	1489
458	1260	1485
459	1263	1483
460	1265	1479
461	1268	1476
462	1270	1473
463	1272	1469
464	1274	1466
465	1276	1462
466	1279	1459
467	1283	1459
468	1285	1454
469	1286	1451
470	1288	1446
471	1290	1443
472	1292	1439
473	1296	1438
474	1297	1434
475	1299	1430
476	1300	1426
477	1302	1422
478	1303	1418
479	1305	1414
480	1309	1412
481	1311	1409
482	1313	1406
483	1315	1402
484	1317	1398
485	1319	1395
486	1321	1391
487	1327	1393
488	1331	1391
489	1333	1387
490	1335	1384
491	1339	1382
492	1342	1380
493	1344	1377
494	1346	1373
495	1347	1369
496	1349	1365
497	1354	1365
498	1356	1362
499	1358	1358
500	1360	1354
501	1362	1351
502	1363	1347
503	1366	1344
504	1370	1343
505	1372	1339
506	1373	1336
507	1375	1332
508	1376	1328
509	1378	1324
510	1385	1326
511	1387	1322
512	1389	1319
513	1390	1315
514	1392	1311
515	1395	1309
516	1400	1308
517	1403	1306
518	1405	1302
519	1406	1298
520	1408	1294
521	1410	1291
522	1415	1290
523	1416	1287
524	1418	1283
525	1419	1279
526	1421	1275
527	1424	1273
528	1428	1271
529	1431	1269
530	1432	1265
531	1434	1261
532	1436	1258
533	1437	1254
534	1440	1252
535	1444	1250
536	1445	1246
537	1447	1242
538	1448	1239
539	1450	1235
540	1451	1231
541	1453	1228
542	1457	1226
543	1460	1223
544	1462	1221
545	1464	1217
546	1465	1214
547	1467	1210
548	1469	1207
549	1474	1206
550	1476	1203
551	1478	1199
552	1480	1196
553	1482	1193
554	1487	1192
555	1490	1190
556	1492	1186
557	1493	1183
558	1496	1180
559	1499	1178
560	1504	1177
561	1505	1173
562	1507	1170
563	1508	1166
564	1510	1162
565	1512	1159
566	1515	1157
567	1518	1154
568	1519	1151
569	1521	1147
570	1523	1144
571	1525	1141
572	1528	1139
573	1532	1137
574	1534	1133
575	1535	1130
576	1537	1126
577	1538	1123
578	1541	1120
579	1545	1118
580	1548	1117
581	1552	1114
582	1554	1111
583	1555	1108
584	1558	1105
585	1562	1103
586	1565	1101
587	1567	1098
588	1568	1094
589	1570	1091
590	1572	1087
591	1574	1085
592	1579	1084
593	1581	1080
594	1582	1077
595	1584	1074
596	1586	1071
597	1589	1068
598	1593	1066
599	1595	1063
600	1597	1060
601	1598	1057
602	1600	1054
603	1604	1051
604	1607	1049
605	1608	1046
606	1610	1043
607	1613	1040
608	1615	1037
609	1622	1037
610	1624	1034
611	1626	1031
612	1629	1028
613	1631	1025
614	1634	1023
615	1638	1021
616	1640	1018
617	1642	1015
618	1644	1012
619	1647	1009
620	1650	1007
621	1654	1005
622	1656	1002
623	1657	999
624	1660	996
625	1662	993
626	1666	991
627	1668	988
628	1670	985
629	1671	981
630	1673	978
631	1675	975
632	1678	973
633	1681	970
634	1684	968
635	1685	964
636	1687	961
637	1689	958
638	1691	955
639	1693	952
640	1697	950
641	1699	947
642	1701	944
643	1703	941
644	1706	939
645	1709	936
646	1712	934
647	1714	931
648	1715	928
649	1718	925
650	1720	922
651	1724	920
652	1727	918
653	1729	915
654	1731	911
655	1732	908
656	1736	906
657	1740	904
658	1743	902
659	1745	899
660	1747	896
661	1752	894
662	1758	894
663	1761	891
664	1767	890
665	1773	889
666	1775	886
667	1777	883
668	1780	880
669	1784	878
670	1788	876
671	1790	874
672	1797	873
673	1801	871
674	1804	868
675	1806	865
676	1808	862
677	1812	860
678	1815	858
679	1821	857
680	1829	857
681	1832	854
682	1834	851
683	1836	848
684	1838	845
685	1840	842
686	1849	842
687	1851	839
688	1852	836
689	1856	834
690	1859	831
691	1862	828
692	1863	825
693	1865	822
694	1867	819
695	1871	817
696	1875	815
697	1877	812
698	1881	810
699	1885	808
700	1893	807
701	1895	804
702	1897	801
703	1911	803
704	1914	801
705	1926	802
706	1928	799
707	1932	797
708	1936	794
709	1939	792
710	1941	789
711	1943	786
712	1950	785
713	1954	783
714	1957	780
715	1959	777
716	1968	777
717	1971	774
718	1973	771
719	1975	768
720	1979	765
721	1983	763
722	1986	760
723	1988	757
724	1989	754
725	1993	752
726	1996	749
727	2001	747
728	2003	744
729	2005	741
730	2010	739
731	2016	738
732	2018	735
733	2026	734
734	2033	733
735	2035	730
736	2037	727
737	2042	725
738	2045	722
739	2048	719
740	2051	717
741	2054	714
742	2058	712
743	2060	709
744	2063	706
745	2065	703
746	2068	700
747	2071	697
748	2075	695
749	2077	692
750	2080	689
751	2085	687
752	2094	687
753	2096	684
754	2100	681
755	2105	679
756	2109	677
757	2111	674
758	2115	671
759	2120	669
760	2122	666
761	2124	663
762	2126	660
763	2131	658
764	2134	655
765	2137	652
766	2140	650
767	2144	647
768	2148	645
769	2152	642
770	2154	639
771	2156	637
772	2160	634
773	2164	632
774	2167	629
775	2168	626
776	2170	623
777	2172	619
778	2176	617
779	2180	614
780	2183	612
781	2185	609
782	2187	606
783	2192	604
784	2195	601
785	2198	598
786	2199	595
787	2203	592
788	2210	591
789	2212	588
790	2214	585
791	2216	582
792	2220	579
793	2223	576
794	2225	573
795	2227	570
796	2229	567
797	2232	565
798	2236	562
799	2239	559
800	2240	556
801	2242	553
802	2243	550
803	2254	549
804	2256	546
805	2258	543
806	2260	540
807	2263	537
808	2265	534
809	2268	532
810	2269	529
811	2272	526
812	2274	523
813	2280	520
814	2284	518
815	2286	515
816	2287	512
817	2290	509
818	2297	507
819	2299	504
820	2301	501
821	2303	498
822	2305	495
823	2314	494
824	2316	491
825	2319	488
826	2321	485
827	2325	483
828	2330	480
829	2333	477
830	2334	474
831	2337	472
832	2341	469
833	2345	466
834	2348	463
835	2349	460
836	2352	458
837	2355	455
838	2360	452
839	2362	449
840	2364	446
841	2365	443
842	2370	441
843	2374	438
844	2376	435
845	2378	432
846	2380	430
847	2384	427
848	2386	424
849	2390	421
850	2394	419
851	2399	416
852	2405	414
853	2406	411
854	2408	408
855	2410	405
856	2413	402
857	2417	400
858	2419	397
859	2420	394
860	2422	391
861	2424	388
862	2425	385
863	2429	382
864	2432	379
865	2436	376
866	2438	374
867	2440	371
868	2445	368
869	2449	366
870	2451	363
871	2453	360
872	2456	357
873	2463	355
874	2465	352
875	2467	349
876	2468	346
877	2470	343
878	2475	340
879	2479	338
880	2481	335
881	2483	332
882	2485	329
883	2489	326
884	2493	323
885	2496	321
886	2498	318
887	2500	315
888	2505	312
889	2509	310
890	2511	307
891	2512	304
892	2514	301
893	2517	298
894	2522	295
895	2524	292
896	2526	290
897	2527	287
898	2530	284
899	2533	281
900	2536	278
901	2540	276
902	2542	273
903	2544	270
904	2547	267
905	2550	264
906	2556	262
907	2557	259
908	2559	256
909	2564	253
910	2568	250
911	2570	248
912	2572	245
913	2574	242
914	2577	239
915	2581	236
916	2583	233
917	2585	230
918	2587	228
919	2593	225
920	2597	222
921	2599	219
922	2601	216
923	2602	214
924	2604	211
925	2609	208
926	2610	205
927	2612	202
928	2614	199
929	2618	197
930	2624	194
931	2628	191
932	2629	188
933	2631	185
934	2634	183
935	2637	180
936	2640	177
937	2642	174
938	2643	171
939	2645	168
940	2647	166
941	2650	163
942	2652	160
943	2654	157
944	2655	154
945	2657	151
946	2659	148
947	2660	145
948	2662	143
949	2670	140
950	2672	137
951	2674	134
952	2678	132
953	2682	129
954	2685	126
955	2687	123
956	2688	120
957	2691	118
958	2696	115
959	2698	112
960	2699	109
961	2701	106
962	2702	103
963	2704	101
964	2708	98
965	2710	95
966	2713	92
967	2714	89
968	2716	86
969	2717	84
970	2719	81
971	2727	78
972	2729	75
973	2732	72
974	2734	70
975	2738	67
976	2740	64
977	2744	61
978	2746	58
979	2748	56
980	2749	53
981	2752	50
982	2756	47
983	2759	44
984	2761	42
985	2762	39
986	2764	36
987	2766	33
988	2770	30
989	2773	28
990	2775	25
991	2777	22
992	2778	19
993	2781	16
994	2788	14
995	2791	11
996	2793	8
997	2794	5
998	2795	2
999	2797	0
